Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Tracção,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,Autonomia Máxima,Registo(s),Livro de Revisões completo,Inspecção válida até,IUC,Consumo Combinado,Sub-modelo,Filtro de partículas,Autonomia,Consumo,Garantia de Fábrica até,ou até,IVA Discriminado,Capacidade da bateria,Bateria,Clássico,Gancho de Reboque,Tempo de carregamento,Site,Portugal,Data
Profissional,Audi,A1 Sportback,1.4 TDI Design S tronic,Diesel,Julho,2016,195 000 km,1 422 cm3,90 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Automática,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,14 250        EUR,8090470659,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-1-4-tdi-design-s-tronic-ID8PvN0f.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,308 SW,1.5 BlueHDi Style,Diesel,Novembro,2018,148 243 km,1 499 cm3,102 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Manual,5,5,,18 Meses,,,,Usados,13 499        EUR,8090067301,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-style-ID8Pw64t.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,MINI,Cooper,D,Diesel,Junho,2014,150 000 km,1 496 cm3,116 cv,,,Sim,Utilitário,Laranja,,Manual,3,4,Classe 1,18 Meses,Importado,,Sim,Usados,14 470        EUR,8090157779,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PwtBN.html,6,Tracção dianteira,111 g/km,"4,40 l/100km","3,60 l/100km",,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Opel,Insignia,2.0 CDTi Executive S/S,Diesel,Dezembro,2014,153 000 km,1 956 cm3,140 cv,,,,Sedan,Cinzento,Metalizado,Manual,4,5,Classe 1,,Nacional,Sim,Sim,Usados,11 900        EUR,8090731411,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-2-0-cdti-executive-s-s-ID8PxSPW.html,6,Tracção dianteira,98 g/km,"4,60 l/100km","3,30 l/100km",1 300 km,1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Dacia,Sandero,1.0 SCe Pack,Gasolina,Março,2018,63 102 km,999 cm3,73 cv,,Sim,Sim,Citadino,Vermelho,Metalizado,Manual,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,11 500        EUR,8090102355,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-1-0-sce-pack-ID8PwfbR.html,5,,,,,,1,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,208,1.6 BlueHDi Style,Diesel,Junho,2016,177 000 km,1 560 cm3,75 cv,,,,Citadino,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,10 300        EUR,8090585665,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-style-ID8PxgWb.html,5,Tracção dianteira,90 g/km,"4,20 l/100km",3 l/100km,,,,13/06/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Mitsubishi,Outlander,2.2 DI-D Intense+,Diesel,Junho,2011,380 000 km,2 268 cm3,177 cv,,,,SUV / TT,Preto,Metalizado,Manual,5,7,Classe 1,,,,,Usados,8 950        EUR,8090586733,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-outlander-2-2-di-d-intense-ID8Pxhcp.html,6,Tracção dianteira,157 g/km,"7,40 l/100km","5,20 l/100km",800 km,,,,271 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Smart,ForTwo Coupé,1.0 mhd Pure 61 Softouch,Gasolina,Fevereiro,2012,137 000 km,999 cm3,61 cv,Sim,Sim,Sim,Coupé,Preto,Metalizado,Automática,3,2,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,7 250        EUR,8089320500,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-mhd-pure-61-softouch-ID8PrXNi.html,5,Tracção traseira,97 g/km,"4,60 l/100km",,,1,,17/02/2024,120 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Renault,Laguna Break,2.0 DCi GT 4Control,Diesel,Junho,2011,267 000 km,1 995 cm3,180 cv,,,,Carrinha,Cinzento,Metalizado,Manual,5,5,Classe 1,,Nacional,,Sim,Usados,8 990        EUR,8090053193,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-laguna-break-2-0-dci-gt-4control-ID8Pw2oW.html,6,Tracção dianteira,152 g/km,"6,30 l/100km",4 l/100km,,,,30/06/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,308,PureTech 130 Stop & Start GT-Line Edition,Gasolina,Fevereiro,2016,80 000 km,1 199 cm3,130 cv,,,Sim,Citadino,Preto,,Manual,5,,,18 Meses,,Sim,Sim,Usados,14 900        EUR,8089289539,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-puretech-130-stop-start-gt-line-edition-ID8PrPJW.html,,,,5 l/100km,4 l/100km,,1,Sim,,,4 l/100km,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,508 SW,1.6 BlueHDi Allure,Diesel,Dezembro,2015,228 000 km,1 560 cm3,120 cv,,,,Carrinha,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,14 990        EUR,8090691199,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-allure-ID8PxInl.html,6,Tracção dianteira,100 g/km,"4,70 l/100km","3,50 l/100km",,,,15/12/2023,147 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure,Diesel,Dezembro,2015,164 381 km,1 560 cm3,120 cv,,Sim,Sim,Carrinha,Azul,,Manual,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Usados,12 990        EUR,8087638439,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-ID8PkUdh.html,6,Tracção dianteira,,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Clio,0.9 TCe Limited Edition,Gasolina,Dezembro,2016,115 901 km,898 cm3,90 cv,,Sim,Sim,Citadino,Preto,,Manual,5,5,,18 Meses,Importado,Sim,Sim,Usados,13 000        EUR,8087068409,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-edition-ID8PiwWf.html,,Tracção dianteira,94 g/km,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Citroën,DS3,1.6 e-HDi So Chic,Diesel,Março,2014,149 096 km,1 560 cm3,92 cv,,Sim,Sim,Citadino,Preto,,Manual,3,5,,18 Meses,Importado,Sim,Sim,Usados,12 000        EUR,8085234823,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-e-hdi-so-chic-ID8PaOWh.html,,Tracção dianteira,85 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Peugeot,2008,1.6 e-HDi Allure 2-Tronic,Diesel,Abril,2013,154 000 km,1 560 cm3,92 cv,,,,SUV / TT,Preto,Metalizado,Automática,5,5,,,,,,Usados,11 990        EUR,8090150656,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-e-hdi-allure-2-tronic-ID8PwrKU.html,,,,"4,10 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Volvo,V40,2.0 D3 Momentum,Diesel,Dezembro,2018,216 000 km,1 969 cm3,150 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,,18 Meses,Nacional,Sim,,Usados,14 990        EUR,8089554406,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d3-momentum-ID8PsVDY.html,6,Tracção dianteira,134 g/km,"5,70 l/100km",4 l/100km,,1,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Nissan,Micra,0.9 IG-T Tekna S/S,Gasolina,Junho,2018,81 000 km,898 cm3,90 cv,,Sim,Sim,Citadino,Prateado,,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,13 990        EUR,8090617255,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-0-9-ig-t-tekna-s-s-ID8Pxp8H.html,5,,,,,,1,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Particular,Citroën,C3,,Gasolina,Julho,2019,9 966 km,1 199 cm3,83 cv,,,,Pequeno citadino,Cinzento,,Manual,5,,,,Nacional,Sim,,Usados,11 400        EUR,8090731345,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-ID8PxSOR.html,,,,,,,1,,23/07/2025,108 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Renault,Twingo,1.0 SCe Dynamique,Gasolina,Fevereiro,2015,89 900 km,999 cm3,70 cv,,,,Citadino,Branco,,Manual,5,4,,36 Meses,Nacional,Sim,Sim,Usados,10 900        EUR,8089811889,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-dynamique-ID8Pu1CW.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Audi,A3 Sportback,1.6 TDI Attraction,Diesel,Janeiro,2010,199 000 km,1 598 cm3,105 cv,,,,Utilitário,Outra,,Manual,5,5,,18 Meses,Nacional,Sim,,Usados,11 900        EUR,8090079204,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-1-6-tdi-attraction-ID8Pw9as.html,,,,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,BMW,118,d Line Sport,Diesel,Dezembro,2012,189 420 km,1 995 cm3,143 cv,Sim,Sim,,Cabrio,Cinzento,Metalizado,Manual,3,4,Classe 1,18 Meses,,Sim,Sim,Usados,13 990        EUR,8088839530,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-118-d-line-sport-ID8PpVFI.html,6,Tracção traseira,,"5,40 l/100km",,,,Sim,,,,Série 1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Fiat,Grande Punto,1.2 Dynamic,Gasolina,Fevereiro,2010,198 000 km,1 242 cm3,65 cv,Sim,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,5 990        EUR,8089550455,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-grande-punto-1-2-dynamic-ID8PsWCf.html,5,Tracção dianteira,139 g/km,"7,50 l/100km","4,90 l/100km",,,,15/02/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,BMW,320,d Touring Aut. Sport Line,Diesel,Maio,2010,373 000 km,1 995 cm3,184 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,12 490        EUR,8089819226,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-d-touring-aut-sport-line-ID8Pu3xg.html,6,Tracção traseira,124 g/km,"5,60 l/100km","4,20 l/100km",,,,15/05/2024,260 €,,Série 3,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,207,1.4 HDi SE Millesim 200 Anos,Diesel,Junho,2010,257 000 km,1 398 cm3,70 cv,,,,Citadino,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,7 990        EUR,8090412022,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-207-1-4-hdi-se-millesim-200-anos-ID8PvxKu.html,5,Tracção dianteira,110 g/km,"5,20 l/100km","3,50 l/100km",,,,15/06/2024,147 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Opel,Adam,1.2 Jam,Gasolina,Setembro,2016,147 719 km,1 229 cm3,70 cv,,Sim,Sim,Pequeno citadino,Laranja,Metalizado,Manual,3,4,Classe 1,18 Meses,,Sim,Sim,Usados,11 850        EUR,8088186655,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-adam-1-2-jam-ID8PncPt.html,5,Tracção dianteira,125 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Citroën,C1,1.2 VTi Feel,Gasolina,Julho,2016,77 286 km,1 199 cm3,82 cv,,Sim,Sim,Pequeno citadino,Vermelho,,Manual,5,4,Classe 1,18 Meses,,Sim,Sim,Usados,10 990        EUR,8088284676,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-2-vti-feel-ID8PnCks.html,5,Tracção dianteira,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Audi,A1,1.6 TDI Sport,Diesel,Outubro,2010,214 000 km,1 598 cm3,105 cv,Sim,Sim,Sim,Citadino,Preto,Metalizado,Manual,3,4,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,11 490        EUR,8089050471,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-1-6-tdi-sport-ID8PqPxZ.html,5,Tracção dianteira,,"4,70 l/100km",,,,,15/10/2023,147 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Peugeot,208,1.2 VTi Active,Gasolina,Maio,2013,199 000 km,1 199 cm3,82 cv,Sim,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,9 750        EUR,8090535931,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-vti-active-ID8Px3Z1.html,5,Tracção dianteira,104 g/km,"5,60 l/100km","3,90 l/100km",,,,15/05/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Citroën,C5 Tourer,,Diesel,Fevereiro,2013,165 000 km,1 560 cm3,115 cv,Sim,,Sim,Carrinha,Cinzento,Metalizado,Automática,5,5,,18 Meses,,,,Usados,10 500        EUR,8089847473,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c5-tourer-ID8PuaSR.html,,,,"5,20 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-01
Profissional,Kia,Ceed SW,1.4 CRDi EX,Diesel,Março,2015,149 000 km,1 396 cm3,90 cv,Sim,,,Carrinha,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,Nacional,,Sim,Usados,10 950        EUR,8088460083,1 Outubro 2023,https://www.standvirtual.com/carros/anuncio/kia-ceed-sw-1-4-crdi-ex-ID8PolXB.html,6,Tracção dianteira,,"5,10 l/100km",,,1,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-01
