Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Possibilidade de financiamento,Tipo de cor,Classe do veículo,IUC,Inspecção válida até,Origem,Não fumador,IVA Discriminado,Autonomia Máxima,Sub-modelo,Consumo Combinado,Bateria,Garantia de Fábrica até,Capacidade da bateria,ou até,Autonomia,Consumo,Site,Portugal,Data
Profissional,Smart,ForTwo Coupé,1.0 71 Aut.,Gasolina,Agosto,2015,62 530 km,999 cm3,71 cv,Coupé,Preto,Automática,6,3,2,Tracção traseira,136 g/km,24 Meses,1,Sim,Sim,"5,40 l/100km","4,50 l/100km",Usados,Mostrar VIN,9 700,8091833932,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-71-aut-ID8PCwEv.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Renault,Mégane Sport Tourer,1.5 dCi GT Line,Diesel,Maio,2016,68 000 km,1 461 cm3,110 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,95 g/km,18 Meses,1,Sim,Sim,"4,20 l/100km","3,40 l/100km",Usados,,12 980,8091573426,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-gt-line-ID8PBpSO.html,Sim,Sim,Metalizado,Classe 1,130 €,10 Maio 2025,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Peugeot,208,1.5 BlueHDi Allure,Diesel,Outubro,2019,27 000 km,1 499 cm3,102 cv,Utilitário,Branco,Manual,,5,5,,,18 Meses,,,Sim,,,Usados,,14 990,8091172941,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-allure-ID8PzJHn.html,Sim,Sim,Metalizado,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Smart,ForFour,0.9 Passion 90,Gasolina,Junho,2019,27 000 km,898 cm3,90 cv,Utilitário,Preto,Manual,5,5,4,,,18 Meses,,Sim,Sim,,,Usados,,13 990,8088333650,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-0-9-passion-90-ID8PnP4m.html,Sim,Sim,Metalizado,Classe 1,,,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Fiat,Grande Punto,,Diesel,Abril,2018,89 000 km,1 248 cm3,90 cv,Utilitário,Preto,Manual,,5,5,,,18 Meses,,,,,,Usados,,11 750,8089983171,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-grande-punto-ID8PuKbx.html,Sim,,,,,,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Citroën,C3,1.6 BlueHDi Feel,Diesel,Fevereiro,2018,97 000 km,1 560 cm3,75 cv,Utilitário,Branco,Manual,,5,5,,,18 Meses,,,Sim,,,Usados,,13 750,8091256768,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-6-bluehdi-feel-ID8PA5wq.html,Sim,,,,,,Importado,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Peugeot,208,PureTech 68 Like,Gasolina,Abril,2018,74 000 km,1 199 cm3,68 cv,Utilitário,Outra,Manual,,5,,,,18 Meses,,,Sim,,,Usados,,12 000,8091021822,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-puretech-68-like-ID8Pz6nY.html,Sim,,,,,,Importado,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Ford,Fiesta,1.5 TDCi Trend,Diesel,Junho,2014,163 000 km,1 499 cm3,75 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,,18 Meses,1,,Sim,"4,40 l/100km",,Usados,,9 999,8090258312,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-trend-ID8PwTLi.html,,Sim,Metalizado,Classe 1,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Opel,Astra,1.6 CDTi S/S ecoflex,Diesel,Julho,2018,130 000 km,1 598 cm3,110 cv,Sedan,Cinzento,Manual,6,4,5,Tracção dianteira,94 g/km,18 Meses,,,,,,Usados,Mostrar VIN,12 980,8091608553,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-s-s-ecoflex-ID8PBz1n.html,,Sim,,Classe 1,,27 Julho 2024,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-05
Profissional,Peugeot,108,1.0 VTi Active,Gasolina,Novembro,2014,100 252 km,998 cm3,69 cv,Citadino,Preto,Manual,5,5,4,Tracção dianteira,95 g/km,18 Meses,1,Sim,Sim,5 l/100km,"3,60 l/100km",Usados,,8 900,8091223508,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-ID8PzVQY.html,,,Metalizado,Classe 1,,10 Novembro 2024,Nacional,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-05
